"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Mexico","2019","Total","Both Sexes","31","Data tabulated by year of registration","Final figure, complete","2021","3517","3"
"Mexico","2019","Total","Both Sexes","32","Data tabulated by year of registration","Final figure, complete","2021","3575","3"
"Mexico","2019","Total","Both Sexes","33","Data tabulated by year of registration","Final figure, complete","2021","3655","3"
"Mexico","2019","Total","Both Sexes","34","Data tabulated by year of registration","Final figure, complete","2021","3690","3"
"Mexico","2019","Total","Both Sexes","35","Data tabulated by year of registration","Final figure, complete","2021","3831","3"
"Mexico","2019","Total","Both Sexes","35 - 39","Data tabulated by year of registration","Final figure, complete","2021","20281","3"
"Mexico","2019","Total","Both Sexes","36","Data tabulated by year of registration","Final figure, complete","2021","3841","3"
"Mexico","2019","Total","Both Sexes","37","Data tabulated by year of registration","Final figure, complete","2021","4090","3"
"Mexico","2019","Total","Both Sexes","38","Data tabulated by year of registration","Final figure, complete","2021","4151","3"
"Mexico","2019","Total","Both Sexes","39","Data tabulated by year of registration","Final figure, complete","2021","4368","3"
"Mexico","2019","Total","Both Sexes","40","Data tabulated by year of registration","Final figure, complete","2021","4427","3"
"Mexico","2019","Total","Both Sexes","40 - 44","Data tabulated by year of registration","Final figure, complete","2021","24965","3"
"Mexico","2019","Total","Both Sexes","41","Data tabulated by year of registration","Final figure, complete","2021","4723","3"
"Mexico","2019","Total","Both Sexes","42","Data tabulated by year of registration","Final figure, complete","2021","4972","3"
"Mexico","2019","Total","Both Sexes","43","Data tabulated by year of registration","Final figure, complete","2021","5189","3"
"Mexico","2019","Total","Both Sexes","44","Data tabulated by year of registration","Final figure, complete","2021","5654","3"
"Mexico","2019","Total","Both Sexes","45","Data tabulated by year of registration","Final figure, complete","2021","5851","3"
"Mexico","2019","Total","Both Sexes","45 - 49","Data tabulated by year of registration","Final figure, complete","2021","32200","3"
"Mexico","2019","Total","Both Sexes","46","Data tabulated by year of registration","Final figure, complete","2021","6415","3"
"Mexico","2019","Total","Both Sexes","47","Data tabulated by year of registration","Final figure, complete","2021","6633","3"
"Mexico","2019","Total","Both Sexes","48","Data tabulated by year of registration","Final figure, complete","2021","6531","3"
"Mexico","2019","Total","Both Sexes","49","Data tabulated by year of registration","Final figure, complete","2021","6770","3"
"Mexico","2019","Total","Both Sexes","50","Data tabulated by year of registration","Final figure, complete","2021","7238","3"
"Mexico","2019","Total","Both Sexes","50 - 54","Data tabulated by year of registration","Final figure, complete","2021","39135","3"
"Mexico","2019","Total","Both Sexes","51","Data tabulated by year of registration","Final figure, complete","2021","7447","3"
"Mexico","2019","Total","Both Sexes","52","Data tabulated by year of registration","Final figure, complete","2021","7745","3"
"Mexico","2019","Total","Both Sexes","53","Data tabulated by year of registration","Final figure, complete","2021","7992","3"
"Mexico","2019","Total","Both Sexes","54","Data tabulated by year of registration","Final figure, complete","2021","8713","3"
"Mexico","2019","Total","Both Sexes","55","Data tabulated by year of registration","Final figure, complete","2021","8921","3"
"Mexico","2019","Total","Both Sexes","55 - 59","Data tabulated by year of registration","Final figure, complete","2021","49128","3"
"Mexico","2019","Total","Both Sexes","56","Data tabulated by year of registration","Final figure, complete","2021","9323","3"
"Mexico","2019","Total","Both Sexes","57","Data tabulated by year of registration","Final figure, complete","2021","9650","3"
"Mexico","2019","Total","Both Sexes","58","Data tabulated by year of registration","Final figure, complete","2021","10345","3"
"Mexico","2019","Total","Both Sexes","59","Data tabulated by year of registration","Final figure, complete","2021","10889","3"
"Mexico","2019","Total","Both Sexes","60","Data tabulated by year of registration","Final figure, complete","2021","10937","3"
"Mexico","2019","Total","Both Sexes","60 - 64","Data tabulated by year of registration","Final figure, complete","2021","58377","3"
"Mexico","2019","Total","Both Sexes","61","Data tabulated by year of registration","Final figure, complete","2021","11144","3"
"Mexico","2019","Total","Both Sexes","62","Data tabulated by year of registration","Final figure, complete","2021","11652","3"
"Mexico","2019","Total","Both Sexes","63","Data tabulated by year of registration","Final figure, complete","2021","12222","3"
"Mexico","2019","Total","Both Sexes","64","Data tabulated by year of registration","Final figure, complete","2021","12422","3"
"Mexico","2019","Total","Both Sexes","65","Data tabulated by year of registration","Final figure, complete","2021","12338","3"
"Mexico","2019","Total","Both Sexes","65 - 69","Data tabulated by year of registration","Final figure, complete","2021","63463","3"
"Mexico","2019","Total","Both Sexes","66","Data tabulated by year of registration","Final figure, complete","2021","12578","3"
"Mexico","2019","Total","Both Sexes","67","Data tabulated by year of registration","Final figure, complete","2021","12207","3"
"Mexico","2019","Total","Both Sexes","68","Data tabulated by year of registration","Final figure, complete","2021","13177","3"
"Mexico","2019","Total","Both Sexes","69","Data tabulated by year of registration","Final figure, complete","2021","13163","3"
"Mexico","2019","Total","Both Sexes","70","Data tabulated by year of registration","Final figure, complete","2021","13070","3"
"Mexico","2019","Total","Both Sexes","70 - 74","Data tabulated by year of registration","Final figure, complete","2021","69184","3"
"Mexico","2019","Total","Both Sexes","71","Data tabulated by year of registration","Final figure, complete","2021","13697","3"
"Mexico","2019","Total","Both Sexes","72","Data tabulated by year of registration","Final figure, complete","2021","13897","3"
"Mexico","2019","Total","Both Sexes","73","Data tabulated by year of registration","Final figure, complete","2021","14087","3"
"Mexico","2019","Total","Both Sexes","74","Data tabulated by year of registration","Final figure, complete","2021","14433","3"
"Mexico","2019","Total","Both Sexes","75","Data tabulated by year of registration","Final figure, complete","2021","14193","3"
"Mexico","2019","Total","Both Sexes","75 - 79","Data tabulated by year of registration","Final figure, complete","2021","73832","3"
"Mexico","2019","Total","Both Sexes","76","Data tabulated by year of registration","Final figure, complete","2021","14523","3"
"Mexico","2019","Total","Both Sexes","77","Data tabulated by year of registration","Final figure, complete","2021","14424","3"
"Mexico","2019","Total","Both Sexes","78","Data tabulated by year of registration","Final figure, complete","2021","15250","3"
"Mexico","2019","Total","Both Sexes","79","Data tabulated by year of registration","Final figure, complete","2021","15442","3"
"Mexico","2019","Total","Both Sexes","80","Data tabulated by year of registration","Final figure, complete","2021","15116","3"
"Mexico","2019","Total","Both Sexes","80 - 84","Data tabulated by year of registration","Final figure, complete","2021","77029","3"
"Mexico","2019","Total","Both Sexes","81","Data tabulated by year of registration","Final figure, complete","2021","14968","3"
"Mexico","2019","Total","Both Sexes","82","Data tabulated by year of registration","Final figure, complete","2021","15478","3"
"Mexico","2019","Total","Both Sexes","83","Data tabulated by year of registration","Final figure, complete","2021","15955","3"
"Mexico","2019","Total","Both Sexes","84","Data tabulated by year of registration","Final figure, complete","2021","15512","3"
"Mexico","2019","Total","Both Sexes","85","Data tabulated by year of registration","Final figure, complete","2021","14530","3"
"Mexico","2019","Total","Both Sexes","85 - 89","Data tabulated by year of registration","Final figure, complete","2021","68421","3"
"Mexico","2019","Total","Both Sexes","86","Data tabulated by year of registration","Final figure, complete","2021","13982","3"
"Mexico","2019","Total","Both Sexes","87","Data tabulated by year of registration","Final figure, complete","2021","13107","3"
"Mexico","2019","Total","Both Sexes","88","Data tabulated by year of registration","Final figure, complete","2021","13874","3"
"Mexico","2019","Total","Both Sexes","89","Data tabulated by year of registration","Final figure, complete","2021","12928","3"
"Mexico","2019","Total","Both Sexes","90","Data tabulated by year of registration","Final figure, complete","2021","10267","3"
"Mexico","2019","Total","Both Sexes","90 - 94","Data tabulated by year of registration","Final figure, complete","2021","42960","3"
"Mexico","2019","Total","Both Sexes","91","Data tabulated by year of registration","Final figure, complete","2021","9369","3"
"Mexico","2019","Total","Both Sexes","92","Data tabulated by year of registration","Final figure, complete","2021","8417","3"
"Mexico","2019","Total","Both Sexes","93","Data tabulated by year of registration","Final figure, complete","2021","8112","3"
"Mexico","2019","Total","Both Sexes","94","Data tabulated by year of registration","Final figure, complete","2021","6795","3"
"Mexico","2019","Total","Both Sexes","95","Data tabulated by year of registration","Final figure, complete","2021","5456","3"
"Mexico","2019","Total","Both Sexes","95 - 99","Data tabulated by year of registration","Final figure, complete","2021","18479","3"
"Mexico","2019","Total","Both Sexes","96","Data tabulated by year of registration","Final figure, complete","2021","4581","3"
"Mexico","2019","Total","Both Sexes","97","Data tabulated by year of registration","Final figure, complete","2021","3415","3"
"Mexico","2019","Total","Both Sexes","98","Data tabulated by year of registration","Final figure, complete","2021","2908","3"
"Mexico","2019","Total","Both Sexes","99","Data tabulated by year of registration","Final figure, complete","2021","2119","3"
"Mexico","2019","Total","Both Sexes","100 +","Data tabulated by year of registration","Final figure, complete","2021","4274","3"
"Mexico","2019","Total","Both Sexes","Unknown","Data tabulated by year of registration","Final figure, complete","2021","517","3"
"Mexico","2019","Total","Male","Total","Data tabulated by year of registration","Final figure, complete","2021","411599","2,3"
"Mexico","2019","Total","Male","0","Data tabulated by year of registration","Final figure, complete","2021","12629","2,3"
"Mexico","2019","Total","Male","1","Data tabulated by year of registration","Final figure, complete","2021","1136","2,3"
"Mexico","2019","Total","Male","1 - 4","Data tabulated by year of registration","Final figure, complete","2021","2504","2,3"
"Mexico","2019","Total","Male","2","Data tabulated by year of registration","Final figure, complete","2021","609","2,3"
"Mexico","2019","Total","Male","3","Data tabulated by year of registration","Final figure, complete","2021","422","2,3"
"Mexico","2019","Total","Male","4","Data tabulated by year of registration","Final figure, complete","2021","337","2,3"
"Mexico","2019","Total","Male","5","Data tabulated by year of registration","Final figure, complete","2021","285","2,3"
"Mexico","2019","Total","Male","5 - 9","Data tabulated by year of registration","Final figure, complete","2021","1333","2,3"
"Mexico","2019","Total","Male","6","Data tabulated by year of registration","Final figure, complete","2021","266","2,3"
"Mexico","2019","Total","Male","7","Data tabulated by year of registration","Final figure, complete","2021","250","2,3"
"Mexico","2019","Total","Male","8","Data tabulated by year of registration","Final figure, complete","2021","257","2,3"
"Mexico","2019","Total","Male","9","Data tabulated by year of registration","Final figure, complete","2021","275","2,3"
"Mexico","2019","Total","Male","10","Data tabulated by year of registration","Final figure, complete","2021","296","2,3"
"Mexico","2019","Total","Male","10 - 14","Data tabulated by year of registration","Final figure, complete","2021","1832","2,3"
"Mexico","2019","Total","Male","11","Data tabulated by year of registration","Final figure, complete","2021","289","2,3"
"Mexico","2019","Total","Male","12","Data tabulated by year of registration","Final figure, complete","2021","316","2,3"
"Mexico","2019","Total","Male","13","Data tabulated by year of registration","Final figure, complete","2021","398","2,3"
"Mexico","2019","Total","Male","14","Data tabulated by year of registration","Final figure, complete","2021","533","2,3"
"Mexico","2019","Total","Male","15","Data tabulated by year of registration","Final figure, complete","2021","748","2,3"
"Mexico","2019","Total","Male","15 - 19","Data tabulated by year of registration","Final figure, complete","2021","6424","2,3"
"Mexico","2019","Total","Male","16","Data tabulated by year of registration","Final figure, complete","2021","1021","2,3"
"Mexico","2019","Total","Male","17","Data tabulated by year of registration","Final figure, complete","2021","1258","2,3"
"Mexico","2019","Total","Male","18","Data tabulated by year of registration","Final figure, complete","2021","1629","2,3"
"Mexico","2019","Total","Male","19","Data tabulated by year of registration","Final figure, complete","2021","1768","2,3"
"Mexico","2019","Total","Male","20","Data tabulated by year of registration","Final figure, complete","2021","2061","2,3"
"Mexico","2019","Total","Male","20 - 24","Data tabulated by year of registration","Final figure, complete","2021","11480","2,3"
"Mexico","2019","Total","Male","21","Data tabulated by year of registration","Final figure, complete","2021","2191","2,3"
"Mexico","2019","Total","Male","22","Data tabulated by year of registration","Final figure, complete","2021","2277","2,3"
"Mexico","2019","Total","Male","23","Data tabulated by year of registration","Final figure, complete","2021","2481","2,3"
"Mexico","2019","Total","Male","24","Data tabulated by year of registration","Final figure, complete","2021","2470","2,3"
"Mexico","2019","Total","Male","25","Data tabulated by year of registration","Final figure, complete","2021","2660","2,3"
"Mexico","2019","Total","Male","25 - 29","Data tabulated by year of registration","Final figure, complete","2021","13673","2,3"
"Mexico","2019","Total","Male","26","Data tabulated by year of registration","Final figure, complete","2021","2683","2,3"
"Mexico","2019","Total","Male","27","Data tabulated by year of registration","Final figure, complete","2021","2803","2,3"
"Mexico","2019","Total","Male","28","Data tabulated by year of registration","Final figure, complete","2021","2785","2,3"
"Mexico","2019","Total","Male","29","Data tabulated by year of registration","Final figure, complete","2021","2742","2,3"
"Mexico","2019","Total","Male","30","Data tabulated by year of registration","Final figure, complete","2021","2751","2,3"
"Mexico","2019","Total","Male","30 - 34","Data tabulated by year of registration","Final figure, complete","2021","13711","2,3"
"Mexico","2019","Total","Male","31","Data tabulated by year of registration","Final figure, complete","2021","2707","2,3"
"Mexico","2019","Total","Male","32","Data tabulated by year of registration","Final figure, complete","2021","2739","2,3"
"Mexico","2019","Total","Male","33","Data tabulated by year of registration","Final figure, complete","2021","2725","2,3"
"Mexico","2019","Total","Male","34","Data tabulated by year of registration","Final figure, complete","2021","2789","2,3"
"Mexico","2019","Total","Male","35","Data tabulated by year of registration","Final figure, complete","2021","2833","2,3"
"Mexico","2019","Total","Male","35 - 39","Data tabulated by year of registration","Final figure, complete","2021","14723","2,3"
"Mexico","2019","Total","Male","36","Data tabulated by year of registration","Final figure, complete","2021","2809","2,3"
"Mexico","2019","Total","Male","37","Data tabulated by year of registration","Final figure, complete","2021","3012","2,3"
"Mexico","2019","Total","Male","38","Data tabulated by year of registration","Final figure, complete","2021","2978","2,3"
"Mexico","2019","Total","Male","39","Data tabulated by year of registration","Final figure, complete","2021","3091","2,3"
"Mexico","2019","Total","Male","40","Data tabulated by year of registration","Final figure, complete","2021","3116","2,3"
"Mexico","2019","Total","Male","40 - 44","Data tabulated by year of registration","Final figure, complete","2021","17263","2,3"
"Mexico","2019","Total","Male","41","Data tabulated by year of registration","Final figure, complete","2021","3311","2,3"
"Mexico","2019","Total","Male","42","Data tabulated by year of registration","Final figure, complete","2021","3438","2,3"
"Mexico","2019","Total","Male","43","Data tabulated by year of registration","Final figure, complete","2021","3624","2,3"
"Mexico","2019","Total","Male","44","Data tabulated by year of registration","Final figure, complete","2021","3774","2,3"
"Mexico","2019","Total","Male","45","Data tabulated by year of registration","Final figure, complete","2021","3918","2,3"
"Mexico","2019","Total","Male","45 - 49","Data tabulated by year of registration","Final figure, complete","2021","20983","2,3"
"Mexico","2019","Total","Male","46","Data tabulated by year of registration","Final figure, complete","2021","4253","2,3"
"Mexico","2019","Total","Male","47","Data tabulated by year of registration","Final figure, complete","2021","4282","2,3"
"Mexico","2019","Total","Male","48","Data tabulated by year of registration","Final figure, complete","2021","4248","2,3"
"Mexico","2019","Total","Male","49","Data tabulated by year of registration","Final figure, complete","2021","4282","2,3"
"Mexico","2019","Total","Male","50","Data tabulated by year of registration","Final figure, complete","2021","4617","2,3"
"Mexico","2019","Total","Male","50 - 54","Data tabulated by year of registration","Final figure, complete","2021","24360","2,3"
"Mexico","2019","Total","Male","51","Data tabulated by year of registration","Final figure, complete","2021","4693","2,3"
"Mexico","2019","Total","Male","52","Data tabulated by year of registration","Final figure, complete","2021","4801","2,3"
"Mexico","2019","Total","Male","53","Data tabulated by year of registration","Final figure, complete","2021","4910","2,3"
"Mexico","2019","Total","Male","54","Data tabulated by year of registration","Final figure, complete","2021","5339","2,3"
"Mexico","2019","Total","Male","55","Data tabulated by year of registration","Final figure, complete","2021","5408","2,3"
"Mexico","2019","Total","Male","55 - 59","Data tabulated by year of registration","Final figure, complete","2021","29305","2,3"
"Mexico","2019","Total","Male","56","Data tabulated by year of registration","Final figure, complete","2021","5660","2,3"
"Mexico","2019","Total","Male","57","Data tabulated by year of registration","Final figure, complete","2021","5805","2,3"
"Mexico","2019","Total","Male","58","Data tabulated by year of registration","Final figure, complete","2021","6124","2,3"
"Mexico","2019","Total","Male","59","Data tabulated by year of registration","Final figure, complete","2021","6308","2,3"
"Mexico","2019","Total","Male","60","Data tabulated by year of registration","Final figure, complete","2021","6412","2,3"
"Mexico","2019","Total","Male","60 - 64","Data tabulated by year of registration","Final figure, complete","2021","33604","2,3"
"Mexico","2019","Total","Male","61","Data tabulated by year of registration","Final figure, complete","2021","6488","2,3"
"Mexico","2019","Total","Male","62","Data tabulated by year of registration","Final figure, complete","2021","6678","2,3"
"Mexico","2019","Total","Male","63","Data tabulated by year of registration","Final figure, complete","2021","6922","2,3"
"Mexico","2019","Total","Male","64","Data tabulated by year of registration","Final figure, complete","2021","7104","2,3"
